,IM,BL1,MSL,M,BL2,LAR
IG.062,0.171853130740481,-0.49477372484614,0.217204982072698,-0.3955335685316,0.0805825791322528,0.7451102700312
IG.064,0.140067942159963,0.628930957293231,-0.456960174164747,-0.0422890973136621,-0.342732201325385,-0.310319576473461
IG.066,-0.410411558198375,-0.621654675418038,0.171277824038208,0.188712940120899,0.477282929784743,0.529368828881731
IG.068,-0.362421162101734,-0.408277468336675,0.411155446056402,0.396031688977743,0.406665850465705,-0.104392585321320
IG.070,0.35795598871711,0.0304266001157238,0.325170193237339,-0.150999016316766,-0.153863298895931,-0.258741754349864
IG.072,-0.608061845001468,-0.0649362642243873,0.486023895184305,0.704195986827199,-0.240404145045189,-0.0498590008785634
IG.074,0.610448464848868,0.00102251938958602,0.0539669151814352,-0.613720151674673,0.0825791322528088,-0.0554249603830546
IG.076,-0.596362733111171,0.34783689953652,0.0976816946916642,0.724136820237121,-0.263204404973803,-0.375594981283013
IG.078,-0.526635423395506,-0.0856610577625558,0.130228194049366,0.496542822069812,0.347678065227014,-0.168685600480962
IG.080,0.516764835768471,0.524254954791726,-0.351007259580245,-0.581563719651188,-0.183836709580002,-0.138549398445138
IG.082,-0.0653727438868507,0.128025038428494,-0.313148060881647,-0.0753868987224858,-0.127399552345165,0.295669044959214
IG.086,0.695520184525078,-0.119438973214025,-0.0386804327876179,-0.692966437383239,0.0539132127239451,-0.200062846381911
IG.088,0.784230662887175,0.389303728294476,-0.259653415033720,-0.725031234900098,-0.302366354940684,-0.208860455694127
IG.090,-0.456743147491523,-0.00470610238636563,0.106054544862974,0.461652733429123,0.278134604095445,-0.0708944369015912
IG.092,-0.596649393155349,-0.206653243481768,0.0858617989102635,0.645466912845302,0.287304307971458,-0.0717415352732337
IG.094,-0.191412225011224,0.208109727230752,-0.124562370023423,0.260565586010405,-0.271672489946602,-0.244337948709513
IG.096,-0.142249286645126,-0.516483047627954,-0.00108904821915131,-0.205896912545010,0.282192064643116,0.739854819676945
IG.098,0.216058091803556,0.314260624090428,-0.410857723099566,-0.137816023026014,-0.137306976320754,-0.168923764008423
IG.100,0.282244171620421,0.0556272173094794,-0.154382451564235,-0.177651281108641,-0.197718404389905,-0.10765817428484
